rank,full_name,pos,school_or_team,league,height_in,weight_lbs,age,notes
83,Nick Martinelli,SF,Northwestern,ncaa,79,215,22.0,ESPN #83
84,Cade Tyson,SG,Minnesota,ncaa,79,215,22.7,ESPN #84
85,Oscar Cluff,C,Purdue,ncaa,83,245,24.4,ESPN #85
86,Felix Okpara,C,Tennessee,ncaa,83,235,22.0,ESPN #86
87,Tucker DeVries,SG,Indiana,ncaa,79,205,23.3,ESPN #87
88,Trey Kaufman-Renn,PF,Purdue,ncaa,81,240,23.6,ESPN #88
89,Darrion Williams,SF,NC State,ncaa,78,225,23.0,ESPN #89
90,Rafael Castro,C,George Washington,ncaa,83,235,23.0,ESPN #90
91,Dillon Mitchell,PF,St. John's,ncaa,80,205,22.5,ESPN #91
92,Jaron Pierre Jr.,SG,SMU,ncaa,77,200,23.7,ESPN #92
93,Otega Oweh,SG,Kentucky,ncaa,76,220,22.8,ESPN #93
94,Donovan Dent,PG,UCLA,ncaa,74,180,22.3,ESPN #94
95,Nate Bittle,C,Oregon,ncaa,84,230,22.8,ESPN #95
96,Fletcher Loyer,SG,Purdue,ncaa,77,190,22.6,ESPN #96
97,Quadir Copeland,PG,NC State,ncaa,78,200,22.6,ESPN #97
98,Seth Trimble,PG,North Carolina,ncaa,75,200,21.7,ESPN #98
99,Mark Mitchell,PF,Missouri,ncaa,81,225,22.6,ESPN #99
100,Kashie Natt,SG,Sam Houston,ncaa,78,210,23.2,ESPN #100
101,Cam Jackson,PF,Wake Forest,ncaa,80,245,22.5,supplementary
102,Jalen Celestine,SG,Baylor,ncaa,78,200,22.3,supplementary
103,Dedan Thomas Jr.,PG,UNLV,ncaa,73,180,20.5,supplementary
104,Kanye Clary,PG,Penn State,ncaa,73,185,21.0,supplementary
105,Bryson Tiller,SG,Utah,ncaa,78,200,20.0,supplementary
106,Ian Jackson,SG,North Carolina,ncaa,76,200,20.2,supplementary
107,Boogie Fland,PG,Arkansas,ncaa,74,175,19.5,supplementary
108,Kon Knueppel,SG,Duke,ncaa,78,217,19.5,supplementary
109,VJ Edgecombe,SG,Baylor,ncaa,77,180,19.8,supplementary
110,Tre Johnson,SG,Texas,ncaa,78,190,19.5,supplementary
111,Kasparas Jakucionis,PG,Illinois,ncaa,77,205,19.5,supplementary
112,Rocco Zikarsky,C,Brisbane Bullets,nbl,88,255,19.0,supplementary
113,Ben Henshall,SG,Perth Wildcats,nbl,78,185,19.5,supplementary
114,Tyrese Proctor,PG,Duke,ncaa,77,183,21.0,supplementary
115,Liam McNeeley,SF,UConn,ncaa,79,210,19.5,supplementary
116,Ryan Kalkbrenner,C,Creighton,ncaa,85,250,23.5,supplementary
117,Mark Sears,PG,Alabama,ncaa,73,187,24.0,supplementary
118,Chaz Lanier,SG,Tennessee,ncaa,78,204,23.5,supplementary
119,Jase Richardson,SG,Michigan State,ncaa,75,185,19.5,supplementary
120,Elliot Cadeau,PG,North Carolina,ncaa,74,180,20.5,supplementary
